Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
98063;Federal Way;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98070;Vashon;WA;47.416198;-122.46821;-8;1;47.416198, -122.46821
98101;Seattle;WA;47.61067;-122.33438;-8;1;47.61067, -122.33438
98121;Seattle;WA;47.61487;-122.34578;-8;1;47.61487, -122.34578
98246;Bow;WA;48.558127;-121.417034;-8;1;48.558127, -121.417034
98255;Hamilton;WA;48.525461;-121.9887;-8;1;48.525461, -121.9887
98266;Maple Falls;WA;48.853213;-122.247881;-8;1;48.853213, -122.247881
98297;Waldron;WA;48.701835;-123.02636;-8;1;48.701835, -123.02636
98325;Chimacum;WA;47.974586;-122.78382;-8;1;47.974586, -122.78382
98350;La Push;WA;47.905815;-124.62202;-8;1;47.905815, -124.62202
98388;Steilacoom;WA;47.164965;-122.6005;-8;1;47.164965, -122.6005
98390;Sumner;WA;47.196364;-122.1887;-8;1;47.196364, -122.1887
98538;Curtis;WA;46.483547;-123.1016;-8;1;46.483547, -123.1016
98565;Napavine;WA;46.580105;-122.90699;-8;1;46.580105, -122.90699
98590;Tokeland;WA;46.737458;-123.98121;-8;1;46.737458, -123.98121
98604;Battle Ground;WA;45.791345;-122.51789;-8;1;45.791345, -122.51789
98617;Dallesport;WA;45.632051;-121.16835;-8;1;45.632051, -121.16835
98682;Vancouver;WA;45.67309;-122.51319;-8;1;45.67309, -122.51319
98807;Wenatchee;WA;47.905787;-120.520211;-8;1;47.905787, -120.520211
98827;Loomis;WA;48.885618;-119.68939;-8;1;48.885618, -119.68939
98856;Twisp;WA;48.359904;-120.13051;-8;1;48.359904, -120.13051
98907;Yakima;WA;46.628757;-120.573967;-8;1;46.628757, -120.573967
99004;Cheney;WA;47.466974;-117.60575;-8;1;47.466974, -117.60575
99008;Edwall;WA;47.50505;-117.93432;-8;1;47.50505, -117.93432
99015;Freeman;WA;47.653568;-117.431742;-8;1;47.653568, -117.431742
99066;Deer Park;WA;47.951939;-117.472694;-8;1;47.951939, -117.472694
99144;Lamona;WA;47.60894;-118.399551;-8;1;47.60894, -118.399551
99209;Spokane;WA;47.646148;-117.793734;-8;1;47.646148, -117.793734
99211;Spokane;WA;47.653568;-117.431742;-8;1;47.653568, -117.431742
99228;Spokane;WA;47.653568;-117.431742;-8;1;47.653568, -117.431742
99329;Dixie;WA;46.138753;-118.15325;-8;1;46.138753, -118.15325
98035;Kent;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98036;Lynnwood;WA;47.808816;-122.28394;-8;1;47.808816, -122.28394
98072;Woodinville;WA;47.758786;-122.10205;-8;1;47.758786, -122.10205
98130;Seattle;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98131;Seattle;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98144;Seattle;WA;47.58577;-122.30081;-8;1;47.58577, -122.30081
98228;Bellingham;WA;48.814753;-121.988548;-8;1;48.814753, -121.988548
98256;Index;WA;47.84138;-121.50689;-8;1;47.84138, -121.50689
98263;Lyman;WA;48.534462;-122.058644;-8;1;48.534462, -122.058644
98303;Anderson Island;WA;47.16438;-122.69584;-8;1;47.16438, -122.69584
98375;Puyallup;WA;47.112477;-122.32247;-8;1;47.112477, -122.32247
98383;Silverdale;WA;47.667257;-122.69055;-8;1;47.667257, -122.69055
98439;Lakewood;WA;47.12562;-122.52294;-8;1;47.12562, -122.52294
98444;Tacoma;WA;47.153571;-122.4485;-8;1;47.153571, -122.4485
98537;Cosmopolis;WA;46.899189;-123.6907;-8;1;46.899189, -123.6907
98561;Menlo;WA;46.514625;-123.76903;-8;1;46.514625, -123.76903
98584;Shelton;WA;47.224044;-123.10538;-8;1;47.224044, -123.10538
98612;Cathlamet;WA;46.208318;-123.34624;-8;1;46.208318, -123.34624
98653;Lyle;WA;45.694098;-121.286091;-8;1;45.694098, -121.286091
98833;Mazama;WA;48.634796;-120.47681;-8;1;48.634796, -120.47681
99141;Kettle Falls;WA;48.690209;-118.10045;-8;1;48.690209, -118.10045
99149;Malden;WA;47.227436;-117.47364;-8;1;47.227436, -117.47364
99323;Burbank;WA;46.191158;-118.87987;-8;1;46.191158, -118.87987
99371;Washtucna;WA;46.782783;-118.2869;-8;1;46.782783, -118.2869
98045;North Bend;WA;47.483057;-121.73254;-8;1;47.483057, -121.73254
98047;Pacific;WA;47.26619;-122.24463;-8;1;47.26619, -122.24463
98065;Snoqualmie;WA;47.530639;-121.83053;-8;1;47.530639, -121.83053
98073;Redmond;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98074;Sammamish;WA;47.625364;-122.045347;-8;1;47.625364, -122.045347
98083;Kirkland;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98109;Seattle;WA;47.630648;-122.34675;-8;1;47.630648, -122.34675
98222;Blakely Island;WA;48.586563;-122.80317;-8;1;48.586563, -122.80317
98237;Concrete;WA;48.497601;-121.70018;-8;1;48.497601, -121.70018
98281;Point Roberts;WA;48.99201;-123.05047;-8;1;48.99201, -123.05047
98296;Snohomish;WA;47.846083;-122.11068;-8;1;47.846083, -122.11068
98324;Carlsborg;WA;48.18315;-123.872972;-8;1;48.18315, -123.872972
98340;Hansville;WA;47.910628;-122.57489;-8;1;47.910628, -122.57489
98492;Lakewood;WA;47.066193;-122.113223;-8;1;47.066193, -122.113223
98550;Hoquiam;WA;47.026913;-123.91732;-8;1;47.026913, -123.91732
98577;Raymond;WA;46.668744;-123.67708;-8;1;46.668744, -123.67708
98587;Taholah;WA;47.32251;-124.25814;-8;1;47.32251, -124.25814
98639;North Bonneville;WA;45.650041;-121.97167;-8;1;45.650041, -121.97167
98651;Underwood;WA;45.730656;-121.57558;-8;1;45.730656, -121.57558
98857;Warden;WA;46.970666;-119.0672;-8;1;46.970666, -119.0672
99105;Benge;WA;46.866805;-118.13247;-8;1;46.866805, -118.13247
99205;Spokane;WA;47.69399;-117.43979;-8;1;47.69399, -117.43979
99214;Spokane;WA;47.653568;-117.431742;-8;1;47.653568, -117.431742
99345;Paterson;WA;45.922025;-119.67687;-8;1;45.922025, -119.67687
99401;Anatone;WA;46.086657;-117.2491;-8;1;46.086657, -117.2491
98009;Bellevue;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98030;Kent;WA;47.369098;-122.192276;-8;1;47.369098, -122.192276
98113;Shoreline;WA;47.763669;-122.35384;-8;1;47.763669, -122.35384
98116;Seattle;WA;47.57487;-122.39392;-8;1;47.57487, -122.39392
98150;Seattle;WA;47.432251;-121.803388;-8;1;47.432251, -121.803388
98188;Seattle;WA;47.450321;-122.27472;-8;1;47.450321, -122.27472
98231;Blaine;WA;48.814753;-121.988548;-8;1;48.814753, -121.988548
98259;North Lakewood;WA;48.037258;-121.682271;-8;1;48.037258, -121.682271
98276;Nooksack;WA;48.834208;-122.335734;-8;1;48.834208, -122.335734
98305;Beaver;WA;48.066605;-124.30909;-8;1;48.066605, -124.30909
98481;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193, -122.113223
98498;Lakewood;WA;47.16062;-122.55877;-8;1;47.16062, -122.55877
98530;Bucoda;WA;46.797382;-122.85123;-8;1;46.797382, -122.85123
98563;Montesano;WA;47.034615;-123.60332;-8;1;47.034615, -123.60332
98603;Ariel;WA;46.001752;-122.45624;-8;1;46.001752, -122.45624
98631;Long Beach;WA;46.365773;-124.05022;-8;1;46.365773, -124.05022
98647;Skamokawa;WA;46.296658;-123.46828;-8;1;46.296658, -123.46828
98666;Vancouver;WA;45.801586;-122.520347;-8;1;45.801586, -122.520347
98821;Dryden;WA;47.541723;-120.5614;-8;1;47.541723, -120.5614
98823;Ephrata;WA;47.297368;-119.57129;-8;1;47.297368, -119.57129
98852;Stehekin;WA;48.494944;-120.73348;-8;1;48.494944, -120.73348
98948;Toppenish;WA;46.35653;-120.33462;-8;1;46.35653, -120.33462
99025;Newman Lake;WA;47.751434;-117.06934;-8;1;47.751434, -117.06934
